[2023-11-15 11:37:15] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:39:24] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:39:24] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:39:25] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:39:25] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:55:34] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:55:34] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:55:34] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:55:34] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:56:25] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:56:25] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:56:25] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:56:25] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:56:26] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:56:26] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:56:28] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:56:28] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:56:28] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:56:28] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:56:29] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:56:29] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:56:29] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:56:29] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:56:30] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:56:30] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:56:30] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:56:30] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:56:31] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:56:31] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:56:31] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:56:31] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:56:32] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:56:32] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:56:32] {Debug}{mainwindow.cpp:79} 		 on_pushButton_clicked
[2023-11-15 11:56:32] {Debug}{mainwindow.cpp:80} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
